---config@码表分类=主码-6
---config@码表别名=Ｏ符
😊	oi
$ddcmd(ㄉ,ㄉ)	ofvy
$ddcmd(ㄊ,ㄊ)	ofvy
$ddcmd(ㄋ,ㄋ)	ofvy
$ddcmd(ㄌ,ㄌ)	ofvy
$ddcmd(ㄍ,ㄍ)	ofvy
$ddcmd(ㄎ,ㄎ)	ofvy
$ddcmd(ㄏ,ㄏ)	ofvy
$ddcmd(ㄐ,ㄐ)	ofvy
$ddcmd(ㄑ,ㄑ)	ofvy
$ddcmd(ㄒ,ㄒ)	ofvy
$ddcmd(ㄓ,ㄓ)	ofvy
$ddcmd(ㄔ,ㄔ)	ofvy
$ddcmd(ㄕ,ㄕ)	ofvy
$ddcmd(ㄖ,ㄖ)	ofvy
$ddcmd(ㄗ,ㄗ)	ofvy
$ddcmd(ㄘ,ㄘ)	ofvy
$ddcmd(ㄙ,ㄙ)	ofvy
$ddcmd(ㄧ,ㄧ)	ofvy
$ddcmd(ㄨ,ㄨ)	ofvy
$ddcmd(ㄩ,ㄩ)	ofvy
$ddcmd(ㄚ,ㄚ)	ofvy
$ddcmd(ㄛ,ㄛ)	ofvy
$ddcmd(ㄜ,ㄜ)	ofvy
$ddcmd(ㄝ,ㄝ)	ofvy
$ddcmd(ㄞ,ㄞ)	ofvy
$ddcmd(ㄟ,ㄟ)	ofvy
$ddcmd(ㄠ,ㄠ)	ofvy
$ddcmd(ㄡ,ㄡ)	ofvy
$ddcmd(ㄢ,ㄢ)	ofvy
$ddcmd(ㄣ,ㄣ)	ofvy
$ddcmd(ㄤ,ㄤ)	ofvy
$ddcmd(ㄥ,ㄥ)	ofvy
$ddcmd(ㄦ,ㄦ)	ofvy
$ddcmd(Α,Α)	ofxd
$ddcmd(Β,Β)	ofxd
$ddcmd(Γ,Γ)	ofxd
$ddcmd(Δ,Δ)	ofxd
$ddcmd(Ε,Ε)	ofxd
$ddcmd(Ζ,Ζ)	ofxd
$ddcmd(Η,Η)	ofxd
$ddcmd(Θ,Θ)	ofxd
$ddcmd(Ι,Ι)	ofxd
$ddcmd(Κ,Κ)	ofxd
$ddcmd(Λ,Λ)	ofxd
$ddcmd(Μ,Μ)	ofxd
$ddcmd(Ν,Ν)	ofxd
$ddcmd(Ξ,Ξ)	ofxd
$ddcmd(Ο,Ο)	ofxd
$ddcmd(Π,Π)	ofxd
$ddcmd(Ρ,Ρ)	ofxd
$ddcmd(Σ,Σ)	ofxd
$ddcmd(Τ,Τ)	ofxd
$ddcmd(Υ,Υ)	ofxd
$ddcmd(Φ,Φ)	ofxd
$ddcmd(Χ,Χ)	ofxd
$ddcmd(Ψ,Ψ)	ofxd
$ddcmd(Ω,Ω)	ofxd
$ddcmd(α,α)	ofxx
$ddcmd(β,β)	ofxx
$ddcmd(γ,γ)	ofxx
$ddcmd(δ,δ)	ofxx
$ddcmd(ε,ε)	ofxx
$ddcmd(ζ,ζ)	ofxx
$ddcmd(η,η)	ofxx
$ddcmd(θ,θ)	ofxx
$ddcmd(ι,ι)	ofxx
$ddcmd(κ,κ)	ofxx
$ddcmd(λ,λ)	ofxx
$ddcmd(μ,μ)	ofxx
$ddcmd(ν,ν)	ofxx
$ddcmd(ξ,ξ)	ofxx
$ddcmd(ο,ο)	ofxx
$ddcmd(π,π)	ofxx
